,numPhotos,price,propertyType,size,exterior,rooms,bathrooms,municipality,showAddress,distance,hasVideo,status,newDevelopment,hasPlan,has3DTour,has360,topNewDevelopment,floor,district,neighborhood,hasLift
0,12,750.0,flat,60.0,True,1,1,Madrid,True,7037,False,good,False,False,False,False,False,3,Hortaleza,Canillas,True
1,21,750.0,flat,70.0,True,2,1,San Sebastián de los Reyes,False,16145,True,good,False,True,False,False,False,bj,Centro Urbano,Desconocido,False
2,28,400.0,penthouse,67.0,True,2,2,Villamanrique de Tajo,False,55041,False,good,False,False,False,True,False,2,Desconocido,Desconocido,False
3,11,590.0,flat,70.0,True,3,2,Rascafría,False,56596,False,good,False,False,False,False,False,Desconocido,Desconocido,Desconocido,False
4,17,684.0,studio,45.0,True,0,1,Madrid,True,10656,False,good,False,False,False,False,False,Desconocido,Desconocido,Desconocido,False
5,19,600.0,flat,73.0,True,2,1,Manzanares el Real,False,37062,False,good,False,False,False,False,False,3,Desconocido,Desconocido,False
6,15,600.0,duplex,71.0,True,1,1,Miraflores de la Sierra,False,44126,False,good,False,False,False,False,False,1,Desconocido,Desconocido,False
7,17,550.0,flat,53.0,True,1,1,Madrid,False,4008,False,good,False,False,False,False,False,1,Puente de Vallecas,San Diego,False
8,19,700.0,studio,28.0,True,0,1,Madrid,True,5569,False,good,False,True,True,False,False,1,Ciudad Lineal,San Pascual,False
9,26,700.0,duplex,86.0,True,2,1,Galapagar,False,31153,False,good,False,False,False,False,False,3,Casco Antiguo,Desconocido,True
10,18,700.0,flat,45.0,False,1,1,Madrid,False,2046,False,good,False,False,False,False,False,5,Moncloa,Argüelles,False
11,14,550.0,flat,54.0,True,2,1,Arganda,True,26233,False,good,False,False,False,False,False,en,Centro,Desconocido,False
12,11,695.0,flat,64.0,True,2,1,San Sebastián de los Reyes,True,15747,False,good,False,False,False,False,False,1,Centro Urbano,Desconocido,False
13,5,650.0,flat,68.0,True,2,1,San Lorenzo de el Escorial,False,42410,False,good,False,False,False,False,False,bj,Centro - Casco Histórico,Desconocido,False
14,22,700.0,flat,30.0,False,1,1,Madrid,False,3247,False,good,False,False,False,False,False,1,Retiro,Adelfas,True
15,16,700.0,flat,35.0,False,1,1,Madrid,False,1894,False,good,False,False,False,False,False,1,Arganzuela,Palos de Moguer,False
16,15,700.0,flat,43.0,True,1,1,Madrid,False,4442,True,good,False,False,False,False,False,2,Latina,Aluche,True
17,7,650.0,flat,60.0,True,2,1,Madrid,True,3985,False,good,False,False,False,False,False,1,Puente de Vallecas,San Diego,False
18,15,650.0,chalet,206.0,False,3,1,Aldea del Fresno,False,43195,False,good,False,False,False,False,False,Desconocido,Desconocido,Desconocido,True
19,12,700.0,flat,105.0,True,3,2,Aranjuez,False,44003,False,good,False,False,False,False,False,bj,Centro,Desconocido,False
20,9,695.0,flat,40.0,False,1,1,Madrid,False,2271,False,good,False,True,False,False,False,4,Barrio de Salamanca,Goya,True
21,13,675.0,flat,40.0,True,1,1,Villanueva del Pardillo,False,23556,False,good,False,False,False,False,False,bj,Centro,Desconocido,False
22,30,750.0,studio,45.0,False,0,1,Madrid,False,1027,True,good,False,False,False,False,False,bj,Centro,Lavapiés-Embajadores,True
23,20,750.0,flat,99.0,True,3,2,Aranjuez,False,43492,False,good,False,False,False,False,False,1,Centro,Desconocido,True
24,29,680.0,flat,38.0,False,1,1,Madrid,True,2591,False,good,False,False,False,False,False,1,Retiro,Pacífico,True
25,24,750.0,flat,51.0,True,1,1,Madrid,False,11896,False,good,False,False,False,False,False,1,Barajas,Timón,True
26,12,750.0,penthouse,60.0,True,1,1,Las Rozas de Madrid,False,21316,False,good,False,False,False,False,False,2,Las Matas- Peñascales,Las Matas- Peñascales,False
