,numPhotos,price,propertyType,size,exterior,rooms,bathrooms,address,municipality,latitude,longitude,showAddress,distance,hasVideo,status,newDevelopment,hasPlan,has3DTour,has360,topNewDevelopment,floor,district,neighborhood,hasLift
0,12,750.0,flat,60.0,True,1,1,"Calle de Alejandro Villegas, 23",Madrid,404.646.164,-36.489.179,True,7037,False,good,False,False,False,False,False,3,Hortaleza,Canillas,True
1,21,750.0,flat,70.0,True,2,1,Gregorio izquierdo,San Sebastián de los Reyes,405.500.865,-36.278.085,False,16145,True,good,False,True,False,False,False,bj,Centro Urbano,Desconocido,False
2,28,400.0,penthouse,67.0,True,2,2,Calle Madrid,Villamanrique de Tajo,40.069.197,-3.241.383,False,55041,False,good,False,False,False,True,False,2,Desconocido,Desconocido,False
3,11,590.0,flat,70.0,True,3,2,Rascafría,Rascafría,409.073.967,-38.815.996,False,56596,False,good,False,False,False,False,False,Desconocido,Desconocido,Desconocido,False
4,17,684.0,studio,45.0,True,0,1,"Av. José Antonio Corrales, 2",Madrid,404.855.273,-36.155.982,True,10656,False,good,False,False,False,True,False,Desconocido,Desconocido,Desconocido,True
5,19,600.0,flat,73.0,True,2,1,Manzanares el Real,Manzanares el Real,40.727.241,-38.627.075,False,37062,False,good,False,False,False,False,False,3,Desconocido,Desconocido,False
6,15,600.0,duplex,71.0,True,1,1,Calle de la Fuente,Miraflores de la Sierra,4.081.076,-37.651.952,False,44126,False,good,False,False,False,False,False,1,Desconocido,Desconocido,False
7,17,550.0,flat,53.0,True,1,1,Avenida del Monte Igueldo,Madrid,403.925.829,-36.680.531,False,4008,False,good,False,False,False,False,False,1,Puente de Vallecas,San Diego,False
8,19,700.0,studio,28.0,True,0,1,"Calle de Juan Pérez Zúñiga, 41",Madrid,404.436.001,-36.477.389,True,5569,False,good,False,True,True,False,False,1,Ciudad Lineal,San Pascual,False
9,26,700.0,duplex,86.0,True,2,1,Calle Prado Mingo,Galapagar,405.756.061,-40.067.032,False,31153,False,good,False,False,False,False,False,3,Casco Antiguo,Desconocido,True
10,18,700.0,flat,45.0,False,1,1,Calle de Benito Gutiérrez,Madrid,404.312.011,-37.181.341,False,2046,False,good,False,False,False,False,False,5,Moncloa,Argüelles,False
11,14,550.0,flat,54.0,True,2,1,"Ronda del Olivar, 62",Arganda,402.998.979,-34.342.379,True,26233,False,good,False,False,False,False,False,en,Centro,Desconocido,False
12,11,695.0,flat,64.0,True,2,1,"Calle de Ramón Esteban, 12",San Sebastián de los Reyes,405.462.991,-36.281.483,True,15747,False,good,False,False,False,False,False,1,Centro Urbano,Desconocido,False
13,5,650.0,flat,68.0,True,2,1,duque de medinaceli,San Lorenzo de el Escorial,40.592.936,-4.148.138,False,42410,False,good,False,False,False,False,False,bj,Centro - Casco Histórico,Desconocido,False
14,22,700.0,flat,30.0,False,1,1,Avenida de la Ciudad de Barcelona,Madrid,403.982.963,-36.734.707,False,3247,False,good,False,False,False,False,False,1,Retiro,Adelfas,True
15,16,700.0,flat,35.0,False,1,1,Paseo de Santa María de la Cabeza,Madrid,404.001.572,-36.978.897,False,1894,False,good,False,False,False,False,False,1,Arganzuela,Palos de Moguer,False
16,15,700.0,flat,43.0,True,1,1,LUIS FEITO,Madrid,403.924.838,-37.449.843,False,4442,True,good,False,False,False,False,False,2,Latina,Aluche,True
17,7,650.0,flat,60.0,True,2,1,"Calle del Hachero, 6",Madrid,403.913.672,-3.669.951,True,3985,False,good,False,False,False,False,False,1,Puente de Vallecas,San Diego,False
18,15,650.0,chalet,206.0,False,3,1,Aldea del Fresno,Aldea del Fresno,403.220.018,-41.977.733,False,43195,False,good,False,False,False,False,False,Desconocido,Desconocido,Desconocido,True
